Clave,Id,Producto,Precio,PrecioIVA,ClaveProdServ,Detalles,Indicaciones,TiempoEntrega,Duracion,Descripcion
GSTHIFU,54,GS TRATAMIENTO HI-FU (HIGH FRECUENCY ULTRA),1810.34,2099.99,85121800 - Laboratorios médicos,,,,,
LABINSULPOS,916,INSULINA POSTPANDRIAL,226.72,263.00,85121800 - Laboratorios médicos,,,,,
LAB17AH,55,LAB 17 ALFA HIDROXI PROGESTERONA,362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABIGGPO,56,LAB A SARS COV-2 IGG,678.88,787.50,85121800 - Laboratorios médicos,,,,,
LABACAPT,58,LAB AC ANTI CEL PARIETALES,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABACLAMIGG,59,LAB AC ANTI CHLAMYDIA TRACHOMANTIS IGG,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABACLAM2,60,LAB AC ANTI CHLAMYDIA TRACHOMANTIS IGG E IGM,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABACANFOSC,61,LAB AC ANTI FOSFOLIPIDOS Y/O CARDIOLIPINAS,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABHCBIGG,62,LAB AC ANTI HELICOBACTER PYLORI IGG,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABACHCB2,63,LAB AC ANTI HELICOBACTER PYLORI IGG E IGM,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABHCBIGM,64,LAB AC ANTI HELICOBACTER PYLORI IGM,289.66,336.01,85121800 - Laboratorios médicos,,,,,
LABACANTMSC,57,LAB AC ANTI MUSCULO LISO,715.09,829.50,85121800 - Laboratorios médicos,,,,,
LABACANTNUC,90,LAB AC ANTI NUCLEARES IF,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABANTTOXPL,65,LAB AC ANTI TOXOPLASMA IGG,307.76,357.00,85121800 - Laboratorios médicos,,,,,
LABANTTOX2,66,LAB AC ANTI TOXOPLASMA IGG E IGM,579.31,672.00,85121800 - Laboratorios médicos,,,,,
LABANTTOXPN,67,LAB AC ANTI TOXOPLASMA IGM,307.76,357.00,85121800 - Laboratorios médicos,,,,,
LABACANANGG,68,LAB AC ANTI-ANTIGENO CAPSIDE E.B. (VGA) IGG 2,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABACANANCA,69,LAB AC ANTI-ANTIGENO CAPSIDE E.B. (VGA) IGM,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABACANANNU,70,LAB AC ANTI-ANTIGENO NUCLEAR E.B. (EBNA) IGG,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABACANANTE,71,LAB AC ANTI-ANTIGENO TEMPRANO E.B. (EBV-EA) IGG,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABANTICIST,72,LAB AC ANTI-CISTICERCO,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABACACMV,73,LAB AC ANTI-CITOMEGALOVIRUS (CMV) IGG E IGM,651.72,756.00,85121800 - Laboratorios médicos,,,,,
LABACACADDC,92,LAB AC ANTICUERPOS ANTI DNA DOBLE CADENA,862.07,1000.00,85121800 - Laboratorios médicos,,,,,
LABACACAS,76,LAB AC ANTICUERPOS ANTI-SMITH,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABANTCC,77,LAB AC ANTICUERPOS C (ANCA),1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABANTCP,78,LAB AC ANTICUERPOS P (ANCA),1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABACANTDNA,91,LAB AC ANTI-DNA DOBLE CADENA IF,862.07,1000.00,85121800 - Laboratorios médicos,,,,,
LABACANTMEM,74,LAB AC ANTI-MEM BASAL GLOMERULAR,1176.72,1365.00,85121800 - Laboratorios médicos,,,,,
LABANTIMI,79,LAB AC ANTIMITOCONDRIALES M2A/M2C,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABACANNU,80,LAB AC ANTINUCLEARES,570.26,661.50,85121800 - Laboratorios médicos,,,,,
LABACARUB,75,LAB AC ANTI-RUBEOLA IGG E IGM,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABATIROG,81,LAB AC ANTITIROGLOBULINA,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABANTTPL,82,LAB AC ANTITREPONEMA PALLIDUM FTA-ABS,724.14,840.00,85121800 - Laboratorios médicos,,,,,
LABACB2GL,83,LAB AC B-2-GLICOPROTEINA AGM,1267.24,1470.00,85121800 - Laboratorios médicos,,,,,
LABACFOB12,93,LAB AC FOLICO VIT B12,534.48,620.00,85121800 - Laboratorios médicos,,,,,
LABHCAG,84,LAB AC HELICOBACTER lgA,633.79,735.20,85121800 - Laboratorios médicos,,,,,
LABACHEPIGM,85,LAB AC HERPES I IGG,470.69,546.00,85121800 - Laboratorios médicos,,,,,
LABIGGIGMCO,86,LAB AC IGG/IGM SARS COV 2,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABANTSAR,87,LAB AC NEUTRALIZANTES SARS COV-2,597.41,693.00,85121800 - Laboratorios médicos,,,,,
LABACPERO,88,LAB AC PEROXIDASA (TPO),407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABRECACE,89,LAB AC RECEPTOR ACETILCOLINA,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABACATGM,94,LAB AC TRANSGLUTAMINASA IGA,1176.72,1365.00,85121800 - Laboratorios médicos,,,,,
LABACDEIGGI,944,LAB AC VS DENGUE IgG E IgM + AG DENGUE NS1,498.28,578.00,85121800 - Laboratorios médicos,,,,,
LABACLEIGIM,912,LAB AC. ANTI LEPTOSPIRA IGG E IGM,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABACMETIL,95,LAB ACIDO METILMALONICO,3502.59,4063.00,85121800 - Laboratorios médicos,,,,,
LABACIDU1,96,LAB ACIDO URICO,86.21,100.00,85121800 - Laboratorios médicos,,,,,
LABACVAL,97,LAB ACIDO VALPROICO,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABACVANOR,98,LAB ACIDO VANILMANDELICO EN ORINA 24 HRS,995.69,1155.00,85121800 - Laboratorios médicos,,,,,
LABAGDNG,650,LAB AG DENGUE + AC DENGUE GM,498.28,578.00,85121800 - Laboratorios médicos,,,,,
LABAGGICR,100,LAB AG GIARDIA+CRYPTO,806.03,935.00,85121800 - Laboratorios médicos,,,,,
LABAGHEBP,99,LAB AG HELICOBACTER PYLORI,679.31,788.00,85121800 - Laboratorios médicos,,,,,
LABALBUMINA,101,LAB ALBUMINA,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABALOR24HRAL,978,LAB ALBUMINA EN ORINA 24HRS(ALBUMIN IN URINE),181.03,209.99,85121800 - Laboratorios médicos,,,,,
LABALDOSER,102,LAB ALDOLASA SERICA,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABALDO,103,LAB ALDOSTERONA,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABASOMEC,104,LAB ALFA SOMATO-MEDINA C,724.14,840.00,85121800 - Laboratorios médicos,,,,,
LABALFAFETO,105,LAB ALFAFETOPROTEINA,434.48,504.00,85121800 - Laboratorios médicos,,,,,
LABALGROM,106,LAB ALGORITMO ROMA (CA-125 Y HE4),1900.86,2205.00,85121800 - Laboratorios médicos,,,,,
LABALPFAL,107,LAB ALP / F ALCALINA,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABALTTGP,108,LAB ALT / TGP,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABAMIFRES,109,LAB AMIBA EN FRESCO,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABAMILASA,110,LAB AMILASA,112.07,130.00,85121800 - Laboratorios médicos,,,,,
LABANDO,111,LAB ANDROSTENEDIONA,452.59,525.00,85121800 - Laboratorios médicos,,,,,
LABANFETA,112,LAB ANFETAMINAS,108.62,126.00,85121800 - Laboratorios médicos,,,,,
LABANGLA,133,LAB ANTGLIADINA,2081.90,2415.00,85121800 - Laboratorios médicos,,,,,
LABACLAMIGM,113,LAB ANTI CHLAMYDIA TRACHOMANTIS IGM,307.76,357.00,85121800 - Laboratorios médicos,,,,,
LABACANTIHIV12,915,LAB ANTI HIV 1 & 2,172.41,200.00,85121800 - Laboratorios médicos,,,,,
LABANTIJO,114,LAB ANTI JO,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABANTLUP,117,LAB ANTICOAGULANTE LUPICO,678.88,787.50,85121800 - Laboratorios médicos,,,,,
LABHEPAG,941,"LAB ANTICUERPO HEPATITIS ""A"" IGG",343.97,399.01,85121800 - Laboratorios médicos,,,,,
LABHEPAI,118,"LAB ANTICUERPO HEPATITIS ""A"" IGM",371.55,431.00,85121800 - Laboratorios médicos,,,,,
LABANTHEPAT,119,"LAB ANTICUERPO HEPATITIS ""A"" TOTALES",429.96,498.75,85121800 - Laboratorios médicos,,,,,
LABANTANT,121,LAB ANTICUERPOS TIROIDEOS,588.79,683.00,85121800 - Laboratorios médicos,,,,,
LABSDOP3,122,"LAB ANTIDOPING DE 3 (COCA, ANFETA, MARIG)",317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABSDOP5,123,"LAB ANTIDOPING DE 5 (COCA, ANFE, THC, MORF, PCP)",325.86,378.00,85121800 - Laboratorios médicos,,,,,
LABANTSTRP,124,LAB ANTIESTREPTOLISINAS,81.90,95.00,85121800 - Laboratorios médicos,,,,,
LABANCAEM1,125,LAB ANTIGENO CARCINOEMBRIONARIO (CEA),443.53,514.49,85121800 - Laboratorios médicos,,,,,
LABANTCHLAM,126,LAB ANTIGENO DE CHLAMYDIA,362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABANTCOHLA,127,LAB ANTIGENO DE COMPATIBILIDAD HLA B-27 EN SANGRE TOTAL,1242.24,1441.00,85121800 - Laboratorios médicos,,,,,
LABANGIAR,128,LAB ANTIGENO DE GIARDIA LAMBLIA,651.72,756.00,85121800 - Laboratorios médicos,,,,,
LABANTINF,129,LAB ANTIGENO DE INFLUENZA,706.03,818.99,85121800 - Laboratorios médicos,,,,,
LABHEPBA,130,LAB ANTIGENO E VIRUS HEPATITIS B (HBEAG),452.59,525.00,85121800 - Laboratorios médicos,,,,,
LABANTIP24,919,LAB ANTIGENO P24,209.48,243.00,85121800 - Laboratorios médicos,,,,,
LABANTPROSE,131,LAB ANTIGENO PROSTATICO ESPECIFICO (PSA),317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABANSACO19,964,LAB ANTIGENO SARS-CoV-2 (COVID-19),362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABANTMIT,115,LAB ANTI-MITOCONDRIALES,724.14,840.00,85121800 - Laboratorios médicos,,,,,
LABANTISSA,116,LAB ANTI-SSA (RO),452.59,525.00,85121800 - Laboratorios médicos,,,,,
LABAPOA1YB,134,LAB APO A1 Y B,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABAPOA1,135,LAB APOLIPOPROTEINA A1,724.14,840.00,85121800 - Laboratorios médicos,,,,,
LABAPOA1B,136,LAB APOLIPOPROTEINA A1 - B,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABAPOB,137,LAB APOLIPOPROTEINA B,724.14,840.00,85121800 - Laboratorios médicos,,,,,
LABASTTGO,138,LAB AST / TGO,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABAZUCRED,139,LAB AZUCARES REDUCTORES,103.45,120.00,85121800 - Laboratorios médicos,,,,,
LABB2MGL,140,LAB B2 MICROGLOBULINA,678.88,787.50,85121800 - Laboratorios médicos,,,,,
LABBAAR1,141,LAB BAAR 1 MUESTRA,144.83,168.00,85121800 - Laboratorios médicos,,,,,
.LABBAAR2,142,LAB BAAR 2 MUESTRAS,199.14,231.00,85121800 - Laboratorios médicos,,,,,
LABBAAR3,143,LAB BAAR 3 MUESTRAS,280.60,325.50,85121800 - Laboratorios médicos,,,,,
LABBARB,145,LAB BARBITURICOS,108.62,126.00,85121800 - Laboratorios médicos,,,,,
LABBENZODIA,146,LAB BENZODIAZEPINAS,108.62,126.00,85121800 - Laboratorios médicos,,,,,
LABBILDIR,147,LAB BILIRRUBINA DIR,72.41,84.00,85121800 - Laboratorios médicos,,,,,
LABBILIND,983,LAB BILIRRUBINA INDIRECTA,72.41,84.00,85121800 - Laboratorios médicos,,,,,
LABBILTOT,148,LAB BILIRRUBINA TOTAL,163.79,190.00,85121800 - Laboratorios médicos,,,,,
LABBIOHE,149,LAB BIOMETRIA HEMATICA COMPLETA,162.93,189.00,85121800 - Laboratorios médicos,,,,,
LABBRCA,150,LAB BRCA1 Y BRCA2 + CNVS POR NGS,13577.59,15750.00,85121800 - Laboratorios médicos,,,,,
LABBUNORI,971,LAB BUN EN ORINA,86.21,100.00,85121800 - Laboratorios médicos,,,,,
LABBUSOXI,151,LAB BUSQUEDA DE OXIUROS,181.03,209.99,85121800 - Laboratorios médicos,,,,,
LABBUSPLAS,152,LAB BUSQUEDA DE PLASMODIUM,159.48,185.00,85121800 - Laboratorios médicos,,,,,
LABCVEBPCR,153,LAB C. VIRAL DE EPSTEIN BAAR POR PCR,15387.93,17850.00,85121800 - Laboratorios médicos,,,,,
LABCA153,154,LAB CA 15-3,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABCA199,155,LAB CA 19-9,425.86,494.00,85121800 - Laboratorios médicos,,,,,
LABCA125,156,LAB CA-125,316.81,367.50,85121800 - Laboratorios médicos,,,,,
LABCALC,157,LAB CALCIO,103.45,120.00,85121800 - Laboratorios médicos,,,,,
LABCALOR,158,LAB CALCIO EN ORINA,185.34,214.99,85121800 - Laboratorios médicos,,,,,
LABCALION,159,LAB CALCIO IONIZADO,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABCALCITO,160,LAB CALCITONINA,625.00,725.00,85121800 - Laboratorios médicos,,,,,
LABCALCU,939,LAB CALCULOS,181.03,209.99,85121800 - Laboratorios médicos,,,,,
LABCALPLATO,161,LAB CALPROTECTINA CON LACTOFERRINA,814.66,945.01,85121800 - Laboratorios médicos,,,,,
LABCALLAC,162,LAB CALPROTECTINA EN HECES,588.36,682.50,85121800 - Laboratorios médicos,,,,,
LABCVVIHPCR,163,LAB CARGA VIRAL DE VIH POR PCR,3258.62,3780.00,85121800 - Laboratorios médicos,,,,,
LABCATOR24,164,LAB CATECOLAMINAS ORINA 24 HRS,2353.45,2730.00,85121800 - Laboratorios médicos,,,,,
LABCELLE,165,LAB CELULAS L.E.,138.79,161.00,85121800 - Laboratorios médicos,,,,,
LABCHK1,166,"LAB CHECK-UP 1 (BHC,QS32,EGO)",896.12,1039.50,85121800 - Laboratorios médicos,,,,,
LABCHK2,167,"LAB CHECK-UP 2 (BHC,QS32,EGO,PTC,HBA1C)",1710.78,1984.50,85121800 - Laboratorios médicos,,,,,
LABCHKUPCOM,170,"LAB CHECK-UP COMPLETO (BIOMETRIA HEMATICA, QUIMICA SANG 32 ELEM Y EXAMEN ORINA)",896.12,1039.50,85121800 - Laboratorios médicos,,,,,
LABCHIKUN,174,LAB CHIKUNGUNYA IGM,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABCHKPOBS,175,LAB CHKUP PREOP BAS,1693.58,1964.55,85121800 - Laboratorios médicos,,,,,
LABCHKPOPL,176,LAB CHKUP PREOP PLUS,2033.02,2358.30,85121800 - Laboratorios médicos,,,,,
LABCHINHIE,177,LAB CINETICA DE HIERRO,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABCISTATC,178,LAB CISTATINA C,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABCITMOFE,179,LAB CITOLOGIA DE MOCO FECAL,77.59,90.00,85121800 - Laboratorios médicos,,,,,
LABCITNAS,925,LAB CITOLOGIA NASAL,72.41,84.00,85121800 - Laboratorios médicos,,,,,
LABCITOIGM,180,LAB CITOMEGALOVIRUS IGM,506.90,588.00,85121800 - Laboratorios médicos,,,,,
LABCITO,181,LAB CITOQUIMICO,543.10,630.00,85121800 - Laboratorios médicos,,,,,
