Clave,Id,Producto,Precio,PrecioIVA,ClaveProdServ,Detalles,Indicaciones,TiempoEntrega,Duracion,Descripcion
LABCLFRAUTO,945,LAB CULTIVO FARINGEO AUTOMATIZADO,1034.48,1200.00,85121800 - Laboratorios médicos,,,,,
LABCULMYC,228,LAB CULTIVO MYCOBACTERIUM,1206.90,1400.00,85121800 - Laboratorios médicos,,,,,
LABDNCULMYC,226,LAB CULTIVO MYCOPLASMA-UREAPLASMA,850.00,986.00,85121800 - Laboratorios médicos,,,,,
LABDNCULNAS,230,LAB CULTIVO NASAL/NASOFARINGEO,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABDNCULOF,232,LAB CULTIVO OFTALMICO,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABDNCULOT,234,LAB CULTIVO OTICO,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABDNCULURT,235,LAB CULTIVO URETRAL,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABDNCULVG,236,LAB CULTIVO VAGINAL,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABCUVAA,920,LAB CULTIVO VAGINAL AUTOMATIZADO,1034.48,1200.00,85121800 - Laboratorios médicos,,,,,
LABCULVUL,943,LAB CULTIVO VULVAR,199.14,231.00,85121800 - Laboratorios médicos,,,,,
LABCTGLBA60,929,"LAB CURVA DE TOLERANCIA A LA GLUCOSA (BASAL, 60, 120)",474.14,550.00,85121800 - Laboratorios médicos,,,,,
LABCUTOGLB6,948,"LAB CURVA DE TOLERANCIA A LA GLUCOSA (BASAL,60,90,120)",474.14,550.00,85121800 - Laboratorios médicos,,,,,
LABCUTOGLU3,927,LAB CURVA DE TOLERANCIA A LA GLUCOSA 3 HRS,474.14,550.00,85121800 - Laboratorios médicos,,,,,
LABCTGL0306,928,"LAB CURVA DE TOLERANCIA A LA GLUCOSA(0,30,60,120)",474.14,550.00,85121800 - Laboratorios médicos,,,,,
LABCTIB3060,937,"LAB CURVA DE TOLERANCIA A LA INSULINA (B,30, 60, 120)",1293.10,1500.00,85121800 - Laboratorios médicos,,,,,
LABCTIN5TIE,930,LAB CURVA DE TOLERANCIA A LA INSULINA X 5 TIEMPOS,1293.10,1500.00,85121800 - Laboratorios médicos,,,,,
LABCURHC,238,LAB CURVA HORMONA CRECIMIENTO,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABDESU,913,LAB DEHIDROEPIANDROSTERONA SULFATO (DHEA-SO4),767.24,890.00,85121800 - Laboratorios médicos,,,,,
LABDENIGG,239,LAB DENGUE IGG,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABDENIGGM,241,LAB DENGUE IGG E IGM,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABDENIGM,249,LAB DENGUE IGM,307.76,357.00,85121800 - Laboratorios médicos,,,,,
LABDEPCRE,251,LAB DEPURACION DE CREATININA,226.72,263.00,85121800 - Laboratorios médicos,,,,,
LABSIKA,252,LAB DETECCION ZIKA,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABDETPRBE,253,LAB DETERM. PROT. BENCE JONES,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABDHEA,255,LAB DHEA,767.24,890.00,85121800 - Laboratorios médicos,,,,,
LABDHS04,257,LAB DHEA-S04,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABDIFTOT,260,"LAB DIFENILHIDANTOINA TOTAL (FENTBINA, EPAMIN, DILANTIL, NUCTANE)",543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABDIMD,261,LAB DIMERO D,948.28,1100.00,85121800 - Laboratorios médicos,,,,,
LABDUOMPI,262,LAB DUO MARC PREN C/INTER,2715.52,3150.00,85121800 - Laboratorios médicos,,,,,
LABELEHEM,264,LAB ELECTROFORESIS DE HEMOGLOBINA 15 DIAS,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABELEFORP,266,LAB ELECTROFORESIS DE PROTEINAS,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABELEPU,271,LAB ELECTROFORESIS DE PROTEINAS URINARIAS,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABELEPS,268,LAB ELECTROFORESIS DE PROTENIAS SERICAS,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABELE6,273,LAB ELECTROLITOS (6),588.79,683.00,85121800 - Laboratorios médicos,,,,,
LABELEOR,275,LAB ELECTROLITOS EN ORINA 24HRS,434.48,504.00,85121800 - Laboratorios médicos,,,,,
LABELESER3,950,LAB ELECTROLITOS SERICOS (3),208.62,242.00,85121800 - Laboratorios médicos,,,,,
LABELECMAKC,277,LAB ELECTROLITOS SERICOS (NA-K-CL),271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABELEURI,279,"LAB ELECTROLITOS URINARIOS (NA, K, CL)",362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABVPHCI,280,LAB EN CITOLOGIA BASE LIQUIDA (papa),787.93,914.00,85121800 - Laboratorios médicos,,,,,
LABEOSINOF1,282,LAB EOSINOFILOS EN MOCO NASAL 1 MUESTRA,103.45,120.00,85121800 - Laboratorios médicos,,,,,
LABEOSINOF,283,LAB EOSINOFILOS EN MOCO NASAL 2 MUESTRAS,129.31,150.00,85121800 - Laboratorios médicos,,,,,
LABEOSINOF3,284,LAB EOSINOFILOS EN MODO NASAL 3 MUESTRAS,146.55,170.00,85121800 - Laboratorios médicos,,,,,
LABEPSBAAG,285,LAB EPSTEIN BAAR IGG,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABEPSBAAR,287,LAB EPSTEIN BAAR IgG y IgM,1267.24,1470.00,85121800 - Laboratorios médicos,,,,,
LABEPSBAAM,286,LAB EPSTEIN BAAR IGM,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABESPMTO,288,LAB ESPERMATOBIOSCOPIA,253.45,294.00,85121800 - Laboratorios médicos,,,,,
LABESTRA,289,LAB ESTRADIOL,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABESTROG,290,LAB ESTROGENOS TOTALES,262.50,304.50,85121800 - Laboratorios médicos,,,,,
LABESTRO,297,LAB ESTRONA,2068.97,2400.01,85121800 - Laboratorios médicos,,,,,
LABEGO,298,LAB EXAMEN GENERAL DE ORINA,100.00,116.00,85121800 - Laboratorios médicos,,,,,
PAQPREN,299,"LAB EXAMEN PRENUPCIAL (GPO S, CERT. MED., VDRL/VIH)",469.78,544.94,85121800 - Laboratorios médicos,,,,,
LABFALFRO,300,LAB F. ALCALINA FRACCION OSEA,162.93,189.00,85121800 - Laboratorios médicos,,,,,
LABFACREM,322,LAB FACTOR REUMATOIDE,81.90,95.00,85121800 - Laboratorios médicos,,,,,
LABFVML,324,LAB FACTOR V MUTACION LEIDEN,3711.21,4305.00,85121800 - Laboratorios médicos,,,,,
LABFERRI,326,LAB FERRITINA,334.91,388.50,85121800 - Laboratorios médicos,,,,,
LABFIBR,327,LAB FIBRINOGENO,199.14,231.00,85121800 - Laboratorios médicos,,,,,
LABFIBRO,329,LAB FIBROTEST,6788.79,7875.00,85121800 - Laboratorios médicos,,,,,
LABFOSALO,330,LAB FOSFATA ALCALINA OSEA,995.69,1155.00,85121800 - Laboratorios médicos,,,,,
LABFOSAC,332,LAB FOSFATASA ACIDA,316.81,367.50,85121800 - Laboratorios médicos,,,,,
LABFOSFO,335,LAB FOSFORO,129.31,150.00,85121800 - Laboratorios médicos,,,,,
LABFOSOR,336,LAB FOSFORO EN ORINA,181.03,209.99,85121800 - Laboratorios médicos,,,,,
LABFROHER,988,LAB FROTIS DE HERIDA,750.00,870.00,85121800 - Laboratorios médicos,,,,,
LABFROSANPE,965,LAB FROTIS SANGRE PERIFERICA,90.52,105.00,85121800 - Laboratorios médicos,,,,,
LABTIVPH,338,LAB GENOTIPIFICACION DE VPH,3530.17,4095.00,85121800 - Laboratorios médicos,,,,,
LABGGT,340,LAB GGT GAMA GLUTAMIL TRANSPEPTIDASA,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABGLFHS,342,LAB GLOBULINA FIJADORA DE LA HORMONA SEXUAL (SHBG),859.91,997.50,85121800 - Laboratorios médicos,,,,,
LABGLUCO,345,LAB GLUCOSA,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABGLUBAPOS,946,LAB GLUCOSA BASAL Y POSTPRANDIAL,226.72,263.00,85121800 - Laboratorios médicos,,,,,
LABGLBAPOPR,949,LAB GLUCOSA BASAL Y POST-PRANDIAL,226.72,263.00,85121800 - Laboratorios médicos,,,,,
LABGONACOR,346,LAB GONADOTROPINA CORIONICA HUMANA,371.12,430.50,85121800 - Laboratorios médicos,,,,,
LABGOTGRU,966,LAB GOTA GRUESA,129.31,150.00,85121800 - Laboratorios médicos,,,,,
LABGRRH,356,LAB GRUPO Y RH,94.83,110.00,85121800 - Laboratorios médicos,,,,,
LABHDLCOL,357,LAB HDL COLESTEROL,90.52,105.00,85121800 - Laboratorios médicos,,,,,
LABHELIGA6,358,LAB HELICOBACTER IGA - 6 X4,1448.28,1680.00,85121800 - Laboratorios médicos,,,,,
LABHEMO1,359,LAB HEMOGLOBINA GLUCOSILADA,312.28,362.24,85121800 - Laboratorios médicos,,,,,
LABHEPBAUS,360,LAB HEPATITIS B AG AUSTRALIA,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABHEPACC,361,LAB HEPATITIS C  CUANTITATIVO,452.59,525.00,85121800 - Laboratorios médicos,,,,,
LABHEPCUAL,362,LAB HEPATITIS CUALITATIVO,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABHERPIGGM,378,LAB HERPES I IGG E IGM,814.66,945.01,85121800 - Laboratorios médicos,,,,,
LABHERPIGM,380,LAB HERPES I IGM,425.43,493.50,85121800 - Laboratorios médicos,,,,,
LABHERIIIGG,381,LAB HERPES VIRUS II IGG,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABHERIGGM,386,LAB HERPES VIRUS II IGG E IGM,896.12,1039.50,85121800 - Laboratorios médicos,,,,,
LABHERIIIGM,387,LAB HERPES VIRUS II IGM,307.76,357.00,85121800 - Laboratorios médicos,,,,,
LABHIERRO,388,LAB HIERRO,226.29,262.50,85121800 - Laboratorios médicos,,,,,
LABHISTO,389,LAB HISTOPLASMA CAPSULATUM,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABHOMOC,390,LAB HOMOCISTEINA,896.12,1039.50,85121800 - Laboratorios médicos,,,,,
LABHORLUT,392,"LAB HORM, LUTEIZANTE",244.40,283.50,85121800 - Laboratorios médicos,,,,,
LABHORMFOL,391,LAB HORM. FOL. EST.,244.40,283.50,85121800 - Laboratorios médicos,,,,,
LABHORLUT,393,LAB HORM. LUTEINIZANTE,244.40,283.50,85121800 - Laboratorios médicos,,,,,
LABHORADN,394,LAB HORMONA ADRENOCORTICOTROFICA (ACTH) 600,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABHORMUL,395,LAB HORMONA ANTI-MULLERIANA,2262.93,2625.00,85121800 - Laboratorios médicos,,,,,
LABCBPE,396,LAB HORMONA DE CREC. BASAL Y POST-ESTIMULO,588.36,682.50,85121800 - Laboratorios médicos,,,,,
LABHORMCRE,397,LAB HORMONA DE CRECIMIENTO,452.59,525.00,85121800 - Laboratorios médicos,,,,,
LABHRFLES,914,LAB HORMONA FOLICULO ESTIMULANTE,208.62,242.00,85121800 - Laboratorios médicos,,,,,
LABHOPT,398,LAB HORMONA PARATIROIDEA (PTH-1),497.84,577.49,85121800 - Laboratorios médicos,,,,,
LABHORCOM,399,"LAB HORMONAL COMPLETO + T3L, T4L",1783.19,2068.50,85121800 - Laboratorios médicos,,,,,
LABIDENPAR,400,LAB IDENTIFICACION DE PARASITO,171.98,199.50,85121800 - Laboratorios médicos,,,,,
LABHORCRE4,401,LAB IGFBP-3 (IGF PROTEINA 3),1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABINMEQ,402,LAB INMUNOESTOQUIMICA,4525.86,5250.00,85121800 - Laboratorios médicos,,,,,
LABINMGA,403,LAB INMUNOGLOBULINA A,334.91,388.50,85121800 - Laboratorios médicos,,,,,
LABINMUNGLE,404,LAB INMUNOGLOBULINA E (IGE),289.66,336.01,85121800 - Laboratorios médicos,,,,,
LABINSUL1,405,LAB INSULINA,353.02,409.50,85121800 - Laboratorios médicos,,,,,
LABBAAREXXP,921,LAB INV. BAAR EN MUESTRA DE EXPECTORACION,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABLDHDELA,406,LAB LDH (DESHIGROGENASA LACTICA),117.67,136.50,85121800 - Laboratorios médicos,,,,,
LABLINFCD4,407,LAB LINFOCITOS CD4,1855.60,2152.50,85121800 - Laboratorios médicos,,,,,
LABLIPASA,408,LAB LIPASA,135.78,157.50,85121800 - Laboratorios médicos,,,,,
LABLIPTOT,409,LAB LIPIDOS TOTALES,117.67,136.50,85121800 - Laboratorios médicos,,,,,
LABMAG,410,LAB MAGNESIO,155.17,180.00,85121800 - Laboratorios médicos,,,,,
LABMAGOR,411,LAB MAGNESIO EN ORINA,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABTUM2729,412,LAB MARCADOR TUMORAL 27-29,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABMATUCA27,413,LAB MARCADOR TUMORAL CA 27 29,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABMCTUM,414,LAB MARCADOR TUMORAL CA72-4,1176.72,1365.00,85121800 - Laboratorios médicos,,,,,
LABCARAB,415,LAB MARIGUANA (CARABINOIDES),108.62,126.00,85121800 - Laboratorios médicos,,,,,
LABMER,416,LAB MERCURIO,1267.24,1470.00,85121800 - Laboratorios médicos,,,,,
LABMICALB,448,LAB MICROALBUMINURIA,334.91,388.50,85121800 - Laboratorios médicos,,,,,
LABMIOGBL,449,LAB MIOGLOBULINA,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABMONSUPVI,959,LAB MONITOREO DE SUPERFICIES VIVAS,362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABMONON,450,LAB MONONUCLEOSIS,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABMTHF,451,LAB MTHF (MUTACION 677-C),3530.17,4095.00,85121800 - Laboratorios médicos,,,,,
LABNITUREI,979,LAB NITROGENO UREICO,86.21,100.00,85121800 - Laboratorios médicos,,,,,
LABNCARB,452,LAB NIVEL CARBAMACEPINA,678.88,787.50,85121800 - Laboratorios médicos,,,,,
LABOXIGRA,938,LAB OXIURUS (TECNICA DE GRAHAM)21,181.03,209.99,85121800 - Laboratorios médicos,,,,,
LABPANLEV,922,LAB PANEL DE LEVADURAS,1163.79,1350.00,85121800 - Laboratorios médicos,,,,,
LABPAPATAM,453,LAB PAPANICOLAU+TAMIZ COLPOSCOPICO,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABPAQCO,454,LAB PAQ CHECK-UP PAPA COMPLETO,1846.55,2142.00,85121800 - Laboratorios médicos,,,,,
LABPAQCONG,987,"LAB PAQ CONGRESO QS 35, BHC, PERFIL TIROIDEO, EXAMEN GENERAL DE ORINA.",-,-,85121800 - Laboratorios médicos,,,,,
LABTRFR,455,LAB PAQ TRANSFERRINA Y FERRITINA,497.84,577.49,85121800 - Laboratorios médicos,,,,,
LABPQCOM,456,LAB PAQUETE HORM. COMPLETO,1258.19,1459.50,85121800 - Laboratorios médicos,,,,,
LABPCRCT,457,LAB PCR CUANTITATIVA,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABPCRPAP,458,LAB PCR PAPILOMA HUM,3620.69,4200.00,85121800 - Laboratorios médicos,,,,,
LABCOVINF,459,LAB PCR PARA SARS-COV-2 E INFLUENZA A Y B,1928.02,2236.50,85121800 - Laboratorios médicos,,,,,
labpcrrick,986,Lab PCR Rickettsia,5127.16,5947.50,85121800 - Laboratorios médicos,,,,,
LABPCRU,460,LAB PCR ULTRASENSIBLE,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABPEPC,461,LAB PEPTIDO C,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABPEPCIC,462,LAB PEPTIDO CICLICO CITRULINADO (PPC),1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABPEPNAT,463,LAB PEPTIDO NATRIURETICO (BNP),1551.72,1800.00,85121800 - Laboratorios médicos,,,,,
LABPB12,464,LAB PERF BIOQ 12 ELEM.,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABPB24,465,LAB PERF BIOQ 24 ELEM.,633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABPB27,466,LAB PERF BIOQ 27 ELEM.,771.55,895.00,85121800 - Laboratorios médicos,,,,,
LABPB28,467,LAB PERF BIOQ 28 ELEM.,771.55,895.00,85121800 - Laboratorios médicos,,,,,
LABPB32,468,LAB PERF BIOQ 32 ELEM.,771.55,895.00,85121800 - Laboratorios médicos,,,,,
LABPB35,469,LAB PERF BIOQ 35 ELEM.,771.55,895.00,85121800 - Laboratorios médicos,,,,,
LABPERFBQ38,470,LAB PERF BIOQ 38 ELEM.,1520.69,1764.00,85121800 - Laboratorios médicos,,,,,
LABPERALEAL,471,LAB PERFIL DE ALERGENOS ALIMENTICIOS,3168.10,3675.00,85121800 - Laboratorios médicos,,,,,
LABPERALECO,472,LAB PERFIL DE ALERGENOS COMBINADOS,5883.62,6825.00,85121800 - Laboratorios médicos,,,,,
LABPERALEIN,473,LAB PERFIL DE ALERGENOS INHALATORIOS,3168.10,3675.00,85121800 - Laboratorios médicos,,,,,
LABPERANE,474,LAB PERFIL DE ANEMIA,995.69,1155.00,85121800 - Laboratorios médicos,,,,,
LABPERCOM,475,LAB PERFIL DE COMPLEMENTOS,678.88,787.50,85121800 - Laboratorios médicos,,,,,
LABPEDRORCM,953,LAB PERFIL DE DROGAS EN ORINA (COC MAR AMP MET OPIAC BARB BZO),498.28,578.00,85121800 - Laboratorios médicos,,,,,
LABPEREB,476,LAB PERFIL DE EPSTEIN BARR,2081.90,2415.00,85121800 - Laboratorios médicos,,,,,
LABPERFHEP,477,"LAB PERFIL DE FUNC. HEPATICO (BILIS, AST, ALT, ALP)",353.02,409.50,85121800 - Laboratorios médicos,,,,,
LABPERINMUN,478,LAB PERFIL DE INMUNOGLOBULINAS,859.91,997.50,85121800 - Laboratorios médicos,,,,,
LABPERLIP,479,LAB PERFIL DE LIPIDOS,343.97,399.01,85121800 - Laboratorios médicos,,,,,
LABTORCHCH,910,LAB PERFIL DE TORCH CHAGAS,1909.83,2215.40,85121800 - Laboratorios médicos,,,,,
LABPERENA,480,LAB PERFIL ENA,1403.02,1627.50,85121800 - Laboratorios médicos,,,,,
LABETS1,481,"LAB PERFIL ETS (HIV, VDRL Y HEPATITIS B)",678.88,787.50,85121800 - Laboratorios médicos,,,,,
LABPERFGINE,482,LAB PERFIL GINECOLOGICO,887.07,1029.00,85121800 - Laboratorios médicos,,,,,
LABPERHOMA,483,"LAB PERFIL HOMA (GLU, INSU)",402.80,467.25,85121800 - Laboratorios médicos,,,,,
LABPERHF,484,LAB PERFIL HORM. FEM. COMPLETO,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABPEHOCOM,952,LAB PERFIL HORMONAL COMPLETO,1041.38,1208.00,85121800 - Laboratorios médicos,,,,,
LABPERHRM,485,LAB PERFIL HORMONAL MASCULINO,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABPERMTF,486,"LAB PERFIL MARC TUM. FEM. AFP, CEA, CA 125, CA 19-9, CA15-3",1710.78,1984.50,85121800 - Laboratorios médicos,,,,,
LABPERMTM,487,"LAB PERFIL MARC TUM. MASC AFP, CEA, ANT P E, CA 19-9, ANT P E FRACC L",1710.78,1984.50,85121800 - Laboratorios médicos,,,,,
LABPERM,488,"LAB PERFIL MASCULINO (LH, FSA, PRL, ESTRADIOL, TES)",805.60,934.50,85121800 - Laboratorios médicos,,,,,
LABCHKPEMC,489,"LAB PERFIL MUJER COMPLETO (BH, QS50, EGO, PERF. GINECO: LH,FSH, PRL, PRG, ESTRADIOL)",2009.48,2331.00,85121800 - Laboratorios médicos,,,,,
LABPRENAT,490,LAB PERFIL PRENATAL COMPLETO,1493.53,1732.49,85121800 - Laboratorios médicos,,,,,
LABPERPREO,491,"LAB PERFIL PREOPERATORIO BIOMETRIA HEMATICA, GRUPO SANGUINEO, QUIMICA SANGUINEA 3 ELEM (GLUCOSA, UREA, CREATININA), TP, TPT, VDRL, VIH",742.24,861.00,85121800 - Laboratorios médicos,,,,,
LABPERREU,492,"LAB PERFIL REUMATICO (AEL, PCR, FR, AU, VSG)",362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABPERFTA,493,LAB PERFIL TIR. COMP. CON AC ANTITIROIDEOS,1077.16,1249.51,85121800 - Laboratorios médicos,,,,,
LABPERFTIB,494,"LAB PERFIL TIROIDEO BASICO (TSH, T3, T4, TUIP, ITL)",660.78,766.50,85121800 - Laboratorios médicos,,,,,
LABPETIBAS1,955,LAB PERFIL TIROIDEO BASICO I,425.86,494.00,85121800 - Laboratorios médicos,,,,,
LABPETIBAS2,951,LAB PERFIL TIROIDEO BÁSICO II,353.45,410.00,85121800 - Laboratorios médicos,,,,,
LABPERFTIC,495,LAB PERFIL TIROIDEO COMPLETO,841.81,976.50,85121800 - Laboratorios médicos,,,,,
LABTORCH,496,LAB PERFIL TORCH,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABPERTORGM,497,LAB PERFIL TORCH G Y M,1991.38,2310.00,85121800 - Laboratorios médicos,,,,,
LABPERTRI,498,"LAB PERFIL TRIAGE (TROPO, CKMB, MIO)",1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABPPSA,499,"LAB PERFIN PSA (PSAT, PSAL, RELACION)",733.19,850.50,85121800 - Laboratorios médicos,,,,,
LABPHFEC,500,LAB PH FECAL,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABPLAQ,501,LAB PLAQUETAS,144.83,168.00,85121800 - Laboratorios médicos,,,,,
LABPL,502,LAB PLOMO,724.14,840.00,85121800 - Laboratorios médicos,,,,,
LABPOTASIO,977,LAB POTASIO,129.31,150.00,85121800 - Laboratorios médicos,,,,,
LABPOOR24HR,973,LAB POTASIO EN ORINA DE 24 HRS,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABPRNONO,505,LAB PREGNONOLONA,3168.10,3675.00,85121800 - Laboratorios médicos,,,,,
LABPNP22Q,516,LAB PRENATAL PANOR CON 22Q,14482.76,16800.00,85121800 - Laboratorios médicos,,,,,
LABPNPB,518,LAB PRENATAL PANORAMA BASICO,14482.76,16800.00,85121800 - Laboratorios médicos,,,,,
LABPNPE,519,LAB PRENATAL PANORAMA EXTENDIDO,17650.86,20475.00,85121800 - Laboratorios médicos,,,,,
LABPRENUP,521,"LAB PRENUPCIALES (VDRL, VIH Y GRUPO/RH)",469.78,544.94,85121800 - Laboratorios médicos,,,,,
LABPRENUP1,523,"LAB PRENUPCIALES (VDRL, VIH Y GRUPO/RH) 2020",362.07,420.00,85121800 - Laboratorios médicos,,,,,
LABPRCALCIT,524,LAB PROCALCITONINA,1206.90,1400.00,85121800 - Laboratorios médicos,,,,,
LABPROG,526,LAB PROGESTERONA,253.45,294.00,85121800 - Laboratorios médicos,,,,,
LABPRINS,527,LAB PROINSULINA,3439.66,3990.01,85121800 - Laboratorios médicos,,,,,
LABPROL,529,LAB PROLACTINA,244.40,283.50,85121800 - Laboratorios médicos,,,,,
PLAPPROPT,530,LAB PROM PERFIL TIROIDEO,905.17,1050.00,85121800 - Laboratorios médicos,,,,,
LABPRENUPP,532,LAB PROMOCION PAQUETE PRENUPCIAL,398.28,462.00,85121800 - Laboratorios médicos,,,,,
LABPROCEA,533,LAB PROTEINA C REACTIVA,81.90,95.00,85121800 - Laboratorios médicos,,,,,
LABPROCREUS,990,LAB PROTEINA C REACTIVA ULTRA SENSIBLE,500.00,580.00,85121800 - Laboratorios médicos,,,,,
LABPROORI,535,LAB PROTEINA EN ORINA DE 24 HRS,226.29,262.50,85121800 - Laboratorios médicos,,,,,
LABPRPLPAPP,537,LAB PROTEINA PLACENTERIA (PAPP),995.69,1155.00,85121800 - Laboratorios médicos,,,,,
LABPROTOT,981,LAB PROTEINAS TOTALES,72.41,84.00,85121800 - Laboratorios médicos,,,,,
LABPPROTS,538,LAB PROTEINAS TOTALES SANGRE,144.83,168.00,85121800 - Laboratorios médicos,,,,,
LABPRUEMB,540,LAB PRUEBA DE EMBARAZO,135.78,157.50,85121800 - Laboratorios médicos,,,,,
LABPRUFUNHE,954,LAB PRUEBAS DE FUNCIONAMIENTO HEPATICO,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABPSALIB,542,LAB PSA LIBRE,497.84,577.49,85121800 - Laboratorios médicos,,,,,
LABQ38E,547,"LAB QUIM, SANG, 36 E.",1520.69,1764.00,85121800 - Laboratorios médicos,,,,,
LABQUI3GCTT,544,"LAB QUIM. SANG. 3 E. (GLU, COL, TG)",226.29,262.50,85121800 - Laboratorios médicos,,,,,
LABQUI3GUC,545,"LAB QUIM. SANG. 3 E. (GLU, URE, CRE))",154.31,179.00,85121800 - Laboratorios médicos,,,,,
LABQUI6,549,"LAB QUIM. SANG. 6 E. (GLU, BUN, CREA, AU, C.))",343.97,399.01,85121800 - Laboratorios médicos,,,,,
LABQUI62,554,"LAB QUIM. SANG. 6 E. (GLU, URE, CREA, AU, COL Y TG)",343.97,399.01,85121800 - Laboratorios médicos,,,,,
LABQUSAGLBU,947,LAB QUÍMICA SANGUÍNEA(GLU BUN CREA),154.31,179.00,85121800 - Laboratorios médicos,,,,,
LABRAPA,556,LAB RAPAMICINA (SIROLIMUS),1267.24,1470.00,85121800 - Laboratorios médicos,,,,,
LABREACFEB,558,LAB REACCIONES FEBRILES,162.93,189.00,85121800 - Laboratorios médicos,,,,,
LABBRPR,739,LAB REAGINA PLASMATICA (RPR),258.62,300.00,85121800 - Laboratorios médicos,,,,,
LABACREPL,559,LAB RENINA ACTIVIDAD PLASMATICA,1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
LABRESOSM,561,LAB RESISTENCIA OSMATICA 7 DIAS (FRAGILIDAD OSMOTICA),633.62,735.00,85121800 - Laboratorios médicos,,,,,
LABRETICU,968,LAB RETICULOCITOS,172.41,200.00,85121800 - Laboratorios médicos,,,,,
LABRETCOA,565,LAB RETRACCION DEL COAGULO,108.62,126.00,85121800 - Laboratorios médicos,,,,,
LABROSBEN,567,LAB ROSA DE BENGALA,153.88,178.50,85121800 - Laboratorios médicos,,,,,
LABROTAV,569,LAB ROTAVIRUS,387.93,450.00,85121800 - Laboratorios médicos,,,,,
LABSANHEC,575,LAB SANGRE OCULTA EN HECES,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABSEROT,576,LAB SEROTONINA,1357.76,1575.00,85121800 - Laboratorios médicos,,,,,
LABSODIO,976,LAB SODIO,129.31,150.00,85121800 - Laboratorios médicos,,,,,
LABSOORAZA,984,LAB SODIO EN ORINA AL AZAR,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABSOOR24HR,974,LAB SODIO EN ORINA DE 24 HRS,185.34,214.99,85121800 - Laboratorios médicos,,,,,
LABSODSUD,975,LAB SODIO EN SUDOR,434.48,504.00,85121800 - Laboratorios médicos,,,,,
LABTPT,578,LAB T. PARC. TROMBOPLASTINA (TPT),136.21,158.00,85121800 - Laboratorios médicos,,,,,
LABT3LIB,579,LAB T3 LIBRE,253.45,294.00,85121800 - Laboratorios médicos,,,,,
LABT3TOT,581,LAB T3 TOTAL,190.09,220.50,85121800 - Laboratorios médicos,,,,,
LABT4LIB,582,LAB T4 LIBRE,253.45,294.00,85121800 - Laboratorios médicos,,,,,
